,nm_produto,ds_classe2,vl_total
0,Acem Lombinho Friboi Reserva Kg,Acougue,20.78
1,Acem Moida DeliCia A/S Kg,Acougue,19569.53
2,Acem S/O DeliCia A/S Peca Kg,Acougue,1931.24
3,Acem S/O DeliCia A/S Pedaco Kg,Acougue,24885.77
4,Agulha Ou Acem Com Osso Kg,Acougue,206.02
5,Alcatra Com Maminha Peca Inteira Kg,Acougue,47426.52
6,Alcatra Com Maminha Pedaco Kg,Acougue,149861.27
7,Alcatra DeliCia A/S Peca Vac.Kg,Acougue,42.72
8,Alcatra Friboi Reserva Pedaco Resf.Kg,Acougue,13.60
9,Alcatra Frimesa Suina S/O Cong.Kg,Acougue,46.43
10,Alcatra Pamplona Suina Temperada Kg,Acougue,413.18
11,Alcatra Porcionada Kg,Acougue,116617.56
12,Asa de Frango Big Fgo Resf.Bdj Kg,Acougue,978.73
13,Asa de Frango Big Fgo Resf.Kg,Acougue,1468.56
14,Asa de Frango Copacol Resf.Kg,Acougue,3523.53
15,Asa de Frango Maringa Resf.Kg,Acougue,1738.45
16,Assado Campestre DeliCia A/S Kg,Acougue,505.91
17,Assado Ingles DeliCia A/S Kg,Acougue,13.34
18,Baby Beef DeliCia A/S Kg,Acougue,2762.74
19,Bananinha Friboi do Contra File Kg,Acougue,4645.56
20,Barriga Frimesa Suina C/P S/O Cong.Kg,Acougue,390.44
21,Barriga Suina Fattoria Resf.Kg,Acougue,76.51
22,Barriga Suina Pamplona Temp.Resf.Kg,Acougue,258.98
23,Bife A Mineira DeliCia A/S Res.Espe.Kg,Acougue,125.03
24,Bife Alcatra DeliCia A/S Kg,Acougue,20181.71
25,Bife Coxao Mole Kg,Acougue,3993.34
26,Bife de Alcatra Com Maminha Kg,Acougue,1188.48
27,Bife de Borboleta DeliCia A/S Kg,Acougue,2013.22
28,Bife de Cacarola Friboi Reserva Kg,Acougue,1096.37
29,Bife de Contra File DeliCia A/S Kg,Acougue,11607.35
30,Bife de Contra File Kg,Acougue,523.41
31,Bife de Coxao Mole DeliCia A/S Kg,Acougue,71181.03
32,Bife de Maminha DeliCia A/S Kg,Acougue,603.32
33,Bife de Palha DeliCia S/A Kg,Acougue,417.12
34,Bife de Patinho DeliCia A/S Kg,Acougue,30082.59
35,Bife de Picanha Friboi Reserva Kg,Acougue,618.60
36,Bife de Posta Branca DeliCia S/A Kg,Acougue,1236.23
37,Bife Light DeliCia A/S Kg,Acougue,2910.70
38,Bife Para Milanesa DeliCia A/S Kg,Acougue,3206.62
39,Bife Para Role DeliCia A/S Kg,Acougue,1123.61
40,Bife Paris DeliCia A/S Kg,Acougue,2751.24
41,Bife Patinho Kg,Acougue,1659.70
42,Bife Posta Vermelha DeliCia A/S Kg,Acougue,27581.42
43,Bife Posta Vermelha Kg,Acougue,891.86
44,Bisteca Bizinelli Resf.Kg,Acougue,2581.80
45,Bisteca da Minga Friboi C/Osso Cong.Kg,Acougue,14.15
46,Bisteca da Paleta Friboi Cong.Kg,Acougue,38.67
47,Bisteca Fattoria Resf.Kg,Acougue,11044.38
48,Bisteca Frimesa Fat.Cong.Kg,Acougue,23583.06
49,Bisteca Pamplona Temperada Resf.Kg,Acougue,55.28
50,Bisteca Suina Cong.Kg,Acougue,14511.60
51,Bisteca Suina Resf.Kg,Acougue,4411.77
52,Bisteca Tonini Resf.Kg,Acougue,12594.99
53,Bombom do Alcatra DeliCia A/S Kg,Acougue,3232.00
54,Brochete DeliCia A/S Kg,Acougue,1878.41
55,Bucho Bovino Kg,Acougue,4109.90
56,Bucho Para Dobradinha Kg,Acougue,408.11
57,Carcaca Suina Fattoria Resf.Kg,Acougue,13126.86
58,Carne Moida Copacol Frango Cong.500gr,Acougue,10165.36
59,Carne Sete Com Osso Kg,Acougue,12964.34
60,Contra File Com Osso Kg,Acougue,110878.39
61,Contra File Grill Friboi Reserva Kg,Acougue,335.06
62,Contra File Porcionado Kg,Acougue,66732.25
63,Contra File S/O DeliCia A/S Pc Vac.Kg,Acougue,140.37
64,Contra File Sem Osso Peca Inteira Kg,Acougue,2424.39
65,Contra File Sem Osso Pedaco Kg,Acougue,3560.42
66,Contra File Swift Maturatta Kg,Acougue,132.54
67,Copa Alegra Lombo Corte Facil Cong.K,Acougue,224.08
68,Coracao Bovino Kg,Acougue,737.81
69,Coracao de Frango Big Fgo Resf.Bdj Kg,Acougue,1500.21
70,Coracao de Frango Big Fgo Resf.Kg,Acougue,1924.52
71,Coracao de Frango Copacol Resf.Kg,Acougue,6900.63
72,Coracao de Frango Maringa Resf.Kg,Acougue,1561.66
73,Cortes Suinos Resf.Kg,Acougue,6932.43
74,Costela  Alegra Suina Cong. Especial Kg,Acougue,1947.76
75,Costela Alegra Ripa Corte Facil Cong.K,Acougue,421.76
76,Costela Ao Meio Suina Alegra Cong.Kg,Acougue,1659.24
77,Costela Bovina Resf.Kg,Acougue,97984.46
78,Costela Especial Kg,Acougue,75.22
79,Costela Prieto Suina Temp.Resf.Kg,Acougue,62.67
80,Costela Ripa Cong.Kg,Acougue,247.24
81,Costela Suina Bizinelli Resf.Kg,Acougue,708.15
82,Costela Suina Fattoria Resf.Kg,Acougue,10128.46
83,Costela Suina Frimesa Cong.Kg,Acougue,4069.75
84,Costela Suina Pamplona Temp.Resf.Kg,Acougue,384.22
85,Costela Suina Resf.Kg,Acougue,810.23
86,Costela Suina Tonini Resf.Kg,Acougue,6279.70
87,Costelinha Copacol Frango Temp.Cong.1kg,Acougue,1175.61
88,Coxa C/Sobrecoxa Big Fgo C/Pele Resf.Kg,Acougue,5263.94
89,Coxa C/Sobrecoxa Big Fgo Resf.Bdj Kg,Acougue,3095.47
90,Coxa C/Sobrecoxa C/Dorso Cong.Kg,Acougue,12253.96
91,Coxa C/Sobrecoxa Frango Cong.Kg,Acougue,4071.31
92,Coxa C/Sobrecoxa Frango Copacol Bdja 1kg,Acougue,754.89
93,Coxa C/Sobrecoxa Frango Copacol Resf.Kg,Acougue,14698.50
94,Coxa C/Sobrecoxa Frango Maringa Resf.Kg,Acougue,14861.47
95,Coxa C/Sobrecoxa Seara Resf.Kg,Acougue,900.26
96,Coxa Frango Big Fgo Resf.Bdj Kg,Acougue,1467.57
97,Coxa Frango Big Fgo Temp.Resf.Kg,Acougue,992.63
98,Coxa Frango Seara Resf.Kg,Acougue,1141.83
99,Coxao Mole DeliCia A/S Peca Vac.Kg,Acougue,558.65
100,Coxao Mole DeliCia A/S Pedaco Resf.Kg,Acougue,7598.27
101,Coxao Mole Frimesa Suino S/Osso Cong.Kg,Acougue,159.43
102,Coxao Mole Moido DeliCia A/S Kg,Acougue,80728.28
103,Coxao Mole Peca Inteira Kg,Acougue,4931.60
104,Coxao Mole Pedaco Kg,Acougue,6918.09
105,Coxao Mole Porcionado Kg,Acougue,190516.92
106,Coxinha da Asa Big Fgo Resf.Kg,Acougue,5641.04
107,Coxinha da Asa Big Fgo Temp.Resf.Kg,Acougue,4173.70
108,Coxinha da Asa Copacol Kg,Acougue,19531.20
109,Coxinha da Asa Fgo Copacol Temp.Resf.1kg,Acougue,583.27
110,Coxinha da Asa Resf.Copacol Bdja 1kg,Acougue,878.78
111,Coxinha da Asa Resf.Maringa Kg,Acougue,7597.69
112,Coxinha da Asa Seara Resf.Kg,Acougue,4341.95
113,Cubos California DeliCia A/S Kg,Acougue,3202.73
114,Cubos de Acem DeliCia A/S Kg,Acougue,550.86
115,Cubos de Paleta DeliCia A/S Kg,Acougue,1384.37
116,Cubos P/Sopa DeliCia A/S Kg,Acougue,174.47
117,Cupim Bovino Kg,Acougue,84.10
118,Cupim Friboi Reserva Vacuo Resf.Kg,Acougue,230.91
119,Dianteiro Bovino Kg,Acougue,67084.31
120,Drumette Big Fgo Resf.Bdj Kg,Acougue,2773.89
121,Duckbeff de Patinho DeliCia A/S Kg,Acougue,3764.06
122,Escabeche DeliCia A/S Kg,Acougue,252.92
123,Figado Bovino Kg,Acougue,4792.11
124,Figado de Frango Copacol Resf.Kg,Acougue,1570.44
125,File de Peito Big Fgo Resf.Kg,Acougue,6362.68
126,File de Peito de Frango Cong.Kg,Acougue,52371.47
127,File de Sassami Big Fgo Resf.Bdj Kg,Acougue,4627.23
128,File de Sassami Big Fgo Resf.Kg,Acougue,1664.64
129,File Frimesa Suino Cong.Kg,Acougue,744.79
130,File Mignon Alegra Corte Facil Cong.Kg,Acougue,309.70
131,File Mignon Alegra Suino Temp.Resf.Kg,Acougue,2153.24
132,File Mignon C/Cordao Kg,Acougue,449.31
133,File Mignon Friboi Porcionado Resf.Kg,Acougue,116.68
134,File Mignon Friboi Reserva Pedaco Kg,Acougue,12.27
135,File Mignon Friboi Reserva Vac.Kg,Acougue,3638.66
136,File Mignon Prieto Suino Temp.Resf.Kg,Acougue,92.53
137,File Mignon Suino Alegra Cong.Kg,Acougue,1246.64
138,File Mignon Suino Pamplona Temp.Resf.Kg,Acougue,184.61
139,File Peito Fgo Big Fgo Resf.Bdj Kg,Acougue,7887.98
140,File Peito Fgo Copacol Temp.Resf.1kg,Acougue,736.27
141,File Peito Frango Big Fgo Temp.Resf.Kg,Acougue,1189.69
142,File Peito Frango Copacol Resf.Kg,Acougue,25550.38
143,File Peito Frango Maringa Resf.Kg,Acougue,11130.13
144,File Peito Frango Seara Resf.Kg,Acougue,5506.35
145,Flanbeff de Patinho DeliCia A/S Kg,Acougue,2755.53
146,Flatbeef Coxao Mole DeliCia A/S Kg,Acougue,858.29
147,Fraldinha Friboi Resf.Kg,Acougue,10473.05
148,Fraldinha Grill do Chef Resf.Vacuo Kg,Acougue,2120.05
149,Fraldinha Swift Maturatta Resf.Kg,Acougue,164.05
150,Frango A Passarinho Big Fgo Resf.Bdj Kg,Acougue,1412.72
151,Frango A Passarinho Big Fgo Resf.Kg,Acougue,1207.73
152,Frango A Passarinho Big Fgo Temp.Resf.Kg,Acougue,2503.23
153,Frango A Passarinho Copacol Resf.Kg,Acougue,2536.20
154,Frango A Passarinho Copacol Temp.Resf.1k,Acougue,283.08
155,Frango Big Resf.Kg,Acougue,14757.31
156,Frango Caipira Ivaipora Cortado Kg,Acougue,5019.44
157,Frango Caipira Ivaipora Inteiro Kg,Acougue,26.59
158,Frango Cong.Kg,Acougue,30520.09
159,Frango Copacol Cong.Kg,Acougue,556.99
160,Frango Copacol Resf.Kg,Acougue,10781.62
161,Frango Resfriado Maringa Kg,Acougue,18500.84
162,Frango Sadia Assa Facil Temp.Cong.Kg,Acougue,1422.86
163,Frango Sadia Cong.Kg,Acougue,35.95
164,Frango Seara Assa Facil Temp.Cong.Kg,Acougue,779.77
165,Galinha Big Frango Kg Cong.,Acougue,923.95
166,Galinha Fragnani Cong.Kg,Acougue,225.78
167,Galo Big Frango Kg Cong.,Acougue,10.96
168,Galo do Sitio Cong.Kg,Acougue,711.98
169,Lingua Bovina Kg,Acougue,1054.71
170,Linguica Alegra Pernil Cong.600g,Acougue,763.62
