,nm_produto,ds_classe2,vl_total
0,Acem Moida DeliCia A/S Kg,Acougue,660.78
1,Acem S/O DeliCia A/S Peca Kg,Acougue,91.71
2,Acem S/O DeliCia A/S Pedaco Kg,Acougue,565.80
3,Alcatra Com Maminha Peca Inteira Kg,Acougue,1305.72
4,Alcatra Com Maminha Pedaco Kg,Acougue,2958.46
5,Alcatra Pamplona Suina Temperada Kg,Acougue,21.61
6,Alcatra Porcionada Kg,Acougue,2812.12
7,Asa de Frango Big Fgo Resf.Bdj Kg,Acougue,10.26
8,Asa de Frango Big Fgo Resf.Kg,Acougue,27.54
9,Asa de Frango Copacol Resf.Kg,Acougue,120.70
10,Asa de Frango Maringa Resf.Kg,Acougue,96.94
11,Baby Beef DeliCia A/S Kg,Acougue,46.91
12,Bananinha Friboi do Contra File Kg,Acougue,31.49
13,Barriga Suina Fattoria Resf.Kg,Acougue,2.37
14,Bife A Mineira DeliCia A/S Res.Espe.Kg,Acougue,6.08
15,Bife Alcatra DeliCia A/S Kg,Acougue,350.33
16,Bife Coxao Mole Kg,Acougue,23.90
17,Bife de Alcatra Com Maminha Kg,Acougue,10.73
18,Bife de Borboleta DeliCia A/S Kg,Acougue,71.14
19,Bife de Cacarola Friboi Reserva Kg,Acougue,9.36
20,Bife de Contra File DeliCia A/S Kg,Acougue,217.81
21,Bife de Contra File Kg,Acougue,12.77
22,Bife de Coxao Mole DeliCia A/S Kg,Acougue,1845.10
23,Bife de Palha DeliCia S/A Kg,Acougue,12.16
24,Bife de Patinho DeliCia A/S Kg,Acougue,836.87
25,Bife de Posta Branca DeliCia S/A Kg,Acougue,35.55
26,Bife Light DeliCia A/S Kg,Acougue,135.26
27,Bife Para Milanesa DeliCia A/S Kg,Acougue,90.63
28,Bife Para Role DeliCia A/S Kg,Acougue,95.84
29,Bife Paris DeliCia A/S Kg,Acougue,52.97
30,Bife Patinho Kg,Acougue,48.93
31,Bife Posta Vermelha DeliCia A/S Kg,Acougue,1170.23
32,Bife Posta Vermelha Kg,Acougue,20.92
33,Bisteca Bizinelli Resf.Kg,Acougue,56.12
34,Bisteca Fattoria Resf.Kg,Acougue,344.28
35,Bisteca Frimesa Fat.Cong.Kg,Acougue,564.62
36,Bisteca Pamplona Temperada Resf.Kg,Acougue,24.80
37,Bisteca Suina Cong.Kg,Acougue,488.77
38,Bisteca Suina Resf.Kg,Acougue,179.50
39,Bisteca Tonini Resf.Kg,Acougue,373.14
40,Bombom do Alcatra DeliCia A/S Kg,Acougue,90.33
41,Brochete DeliCia A/S Kg,Acougue,55.38
42,Bucho Bovino Kg,Acougue,80.05
43,Bucho Para Dobradinha Kg,Acougue,7.95
44,Carcaca Suina Fattoria Resf.Kg,Acougue,433.37
45,Carne Moida Copacol Frango Cong.500gr,Acougue,364.90
46,Carne Sete Com Osso Kg,Acougue,471.97
47,Contra File Com Osso Kg,Acougue,3235.16
48,Contra File Porcionado Kg,Acougue,1573.09
49,Contra File Sem Osso Peca Inteira Kg,Acougue,29.14
50,Contra File Sem Osso Pedaco Kg,Acougue,20.27
51,Copa Alegra Lombo Corte Facil Cong.K,Acougue,12.93
52,Coracao Bovino Kg,Acougue,27.72
53,Coracao de Frango Big Fgo Resf.Bdj Kg,Acougue,26.26
54,Coracao de Frango Big Fgo Resf.Kg,Acougue,32.07
