,nm_produto,ds_classe2,vl_total
0,Acem Moida DeliCia A/S Kg,Acougue,738.30
1,Acem S/O DeliCia A/S Peca Kg,Acougue,68.80
2,Acem S/O DeliCia A/S Pedaco Kg,Acougue,1467.20
3,Alcatra Com Maminha Peca Inteira Kg,Acougue,569.38
4,Alcatra Com Maminha Pedaco Kg,Acougue,4739.22
5,Alcatra Friboi Reserva Pedaco Resf.Kg,Acougue,13.60
6,Alcatra Pamplona Suina Temperada Kg,Acougue,30.93
7,Alcatra Porcionada Kg,Acougue,2448.41
8,Asa de Frango Big Fgo Resf.Bdj Kg,Acougue,44.84
9,Asa de Frango Big Fgo Resf.Kg,Acougue,10.26
10,Asa de Frango Copacol Resf.Kg,Acougue,98.62
11,Asa de Frango Maringa Resf.Kg,Acougue,72.97
12,Assado Campestre DeliCia A/S Kg,Acougue,24.78
13,Baby Beef DeliCia A/S Kg,Acougue,79.38
14,Bananinha Friboi do Contra File Kg,Acougue,99.57
15,Barriga Frimesa Suina C/P S/O Cong.Kg,Acougue,20.57
16,Barriga Suina Pamplona Temp.Resf.Kg,Acougue,12.04
17,Bife A Mineira DeliCia A/S Res.Espe.Kg,Acougue,6.15
18,Bife Alcatra DeliCia A/S Kg,Acougue,708.67
19,Bife Coxao Mole Kg,Acougue,170.54
20,Bife de Alcatra Com Maminha Kg,Acougue,10.52
21,Bife de Borboleta DeliCia A/S Kg,Acougue,76.15
22,Bife de Cacarola Friboi Reserva Kg,Acougue,55.90
23,Bife de Contra File DeliCia A/S Kg,Acougue,392.25
24,Bife de Contra File Kg,Acougue,22.93
25,Bife de Coxao Mole DeliCia A/S Kg,Acougue,2159.23
26,Bife de Maminha DeliCia A/S Kg,Acougue,53.70
27,Bife de Palha DeliCia S/A Kg,Acougue,25.52
28,Bife de Patinho DeliCia A/S Kg,Acougue,972.72
29,Bife de Picanha Friboi Reserva Kg,Acougue,15.74
30,Bife de Posta Branca DeliCia S/A Kg,Acougue,61.18
31,Bife Light DeliCia A/S Kg,Acougue,141.87
32,Bife Para Milanesa DeliCia A/S Kg,Acougue,53.75
