,nm_produto,ds_classe2,vl_total
0,Azeite Arg.Cocinero Oliva Ext.Virg.500ml,Seca Pesada,47.02
1,Suco Tampico Ftas Citricas 450ml,Bebidas Frias,2.89
2,Maca Jasmine Seca Crocante 40g,Seca Doce,11.28
3,Beb.Energ.Red Bull S.Free 250ml La,Bebidas Frias,20.47
4,Cha Real Verde 15g C/10,Seca Doce,6.08
5,Azeitona Vale Fertil Vde Fat.160g,Seca Salgada,7.83
6,Panettone Visconti 908g Cx,Paes E Bolos Industrializados,229.93
7,Panettone Tommy 400g Gotas Chocolate Cx,Paes E Bolos Industrializados,421.14
8,Panettone Tommy Frutas 400g Cx,Paes E Bolos Industrializados,328.66
9,Purif.Bom Ar Click Spray Lav.Apar.12ml,Limpeza,13.19
10,Purif.Bom Ar Click Spray Lav.Refil 12ml,Limpeza,12.38
11,Cr.Dental Colgate 90g T.12 C.Mint,Perfumaria/Higiene E Beleza,62.93
12,Purif.Bom Ar Aero Talco 360ml,Limpeza,17.56
13,Condic.Tresemme 400ml Hidrat.Prof.,Perfumaria/Higiene E Beleza,19.20
14,Arroz Pilecco Nobre Bco 1kg,Seca Pesada,9.45
15,Arroz Pilecco Nobre Bco 5kg,Seca Pesada,43.71
16,Iog.Frimesa 850g Ftas Verm.,Laticinios,26.16
17,Iog.Frimesa 170g Ftas Verm.,Laticinios,21.23
18,Purif.Glade Autom.Refil Clean Line 269ml,Limpeza,22.51
19,Papel Hig.Neve Neutro Fd 50m L8 P7,Limpeza,77.84
20,Mist.P/Mousse Lowcucar Zero Mrcja 25g,Seca Doce,5.98
21,Mist.P/Mousse Lowcucar Zero Limao 25g,Seca Doce,5.98
22,Bisc.Lowcucar Waffer Zero Baun.115g,Seca Doce,5.93
23,Azeitona Vale Fertil S/Caroco 120g Sache,Seca Salgada,39.70
24,Azeitona Vale Fertil Rech.150g Sache,Seca Salgada,21.76
25,Cerv.Itaipava Pilsen 269ml La,Bebidas Frias,19.59
26,Queijo Muss.Sadia Fat.Kg,Fiambreria,268.26
27,Queijo Prato Sadia Fatiado Kg,Fiambreria,57.67
28,Bisc.Bauducco Cookies Chocco 105g,Seca Leve,39.51
29,Pepino D.Aldeia 300g,Seca Salgada,6.43
30,Palmito D'Aldeia Acai Pic.300g,Seca Salgada,8.06
31,Creme de Ricota Santa Clara 200g,Laticinios,4.99
32,Bisc.Bono Rech.D.Lte 140g,Seca Leve,113.88
33,Purif.Bom Ar Click Spray Lav.Refil L3 P2,Limpeza,97.52
