,nm_produto,ds_classe2,vl_total
0,Acem Lombinho Friboi Reserva Kg,Acougue,14.99
1,Acem Moida DeliCia A/S Kg,Acougue,8368.72
2,Acem S/O DeliCia A/S Peca Kg,Acougue,848.59
3,Acem S/O DeliCia A/S Pedaco Kg,Acougue,9860.38
4,Agulha Ou Acem Com Osso Kg,Acougue,34.24
5,Alcatra Com Maminha Peca Inteira Kg,Acougue,21223.68
6,Alcatra Com Maminha Pedaco Kg,Acougue,59482.50
7,Alcatra DeliCia A/S Peca Vac.Kg,Acougue,42.72
8,Alcatra Pamplona Suina Temperada Kg,Acougue,131.34
9,Alcatra Porcionada Kg,Acougue,47107.80
10,Asa de Frango Big Fgo Resf.Bdj Kg,Acougue,400.88
11,Asa de Frango Big Fgo Resf.Kg,Acougue,415.66
12,Asa de Frango Copacol Resf.Kg,Acougue,1358.33
13,Asa de Frango Maringa Resf.Kg,Acougue,543.91
14,Assado Campestre DeliCia A/S Kg,Acougue,120.69
15,Baby Beef DeliCia A/S Kg,Acougue,1182.42
16,Bananinha Friboi do Contra File Kg,Acougue,1594.09
17,Barriga Frimesa Suina C/P S/O Cong.Kg,Acougue,132.67
18,Barriga Suina Fattoria Resf.Kg,Acougue,21.77
19,Barriga Suina Pamplona Temp.Resf.Kg,Acougue,108.94
20,Bife A Mineira DeliCia A/S Res.Espe.Kg,Acougue,51.70
21,Bife Alcatra DeliCia A/S Kg,Acougue,7808.96
22,Bife Coxao Mole Kg,Acougue,1339.54
23,Bife de Alcatra Com Maminha Kg,Acougue,566.89
24,Bife de Borboleta DeliCia A/S Kg,Acougue,878.66
25,Bife de Cacarola Friboi Reserva Kg,Acougue,518.49
26,Bife de Contra File DeliCia A/S Kg,Acougue,4249.53
27,Bife de Contra File Kg,Acougue,202.22
28,Bife de Coxao Mole DeliCia A/S Kg,Acougue,26885.39
29,Bife de Maminha DeliCia A/S Kg,Acougue,181.78
30,Bife de Palha DeliCia S/A Kg,Acougue,122.69
31,Bife de Patinho DeliCia A/S Kg,Acougue,12968.45
32,Bife de Picanha Friboi Reserva Kg,Acougue,266.63
33,Bife de Posta Branca DeliCia S/A Kg,Acougue,525.64
34,Bife Light DeliCia A/S Kg,Acougue,1120.91
35,Bife Para Milanesa DeliCia A/S Kg,Acougue,1226.87
36,Bife Para Role DeliCia A/S Kg,Acougue,291.59
37,Bife Paris DeliCia A/S Kg,Acougue,1058.41
38,Bife Patinho Kg,Acougue,675.35
39,Bife Posta Vermelha DeliCia A/S Kg,Acougue,11773.34
40,Bife Posta Vermelha Kg,Acougue,319.22
41,Bisteca Bizinelli Resf.Kg,Acougue,976.87
42,Bisteca Fattoria Resf.Kg,Acougue,4424.40
43,Bisteca Frimesa Fat.Cong.Kg,Acougue,9747.53
44,Bisteca Pamplona Temperada Resf.Kg,Acougue,16.19
45,Bisteca Suina Cong.Kg,Acougue,6589.64
46,Bisteca Suina Resf.Kg,Acougue,1797.12
47,Bisteca Tonini Resf.Kg,Acougue,4887.17
48,Bombom do Alcatra DeliCia A/S Kg,Acougue,1277.46
49,Brochete DeliCia A/S Kg,Acougue,552.87
50,Bucho Bovino Kg,Acougue,1624.71
51,Bucho Para Dobradinha Kg,Acougue,191.64
52,Carcaca Suina Fattoria Resf.Kg,Acougue,5448.96
53,Carne Moida Copacol Frango Cong.500gr,Acougue,4365.73
54,Carne Sete Com Osso Kg,Acougue,5084.57
55,Contra File Com Osso Kg,Acougue,46233.18
56,Contra File Grill Friboi Reserva Kg,Acougue,58.13
57,Contra File Porcionado Kg,Acougue,24970.41
58,Contra File S/O DeliCia A/S Pc Vac.Kg,Acougue,50.41
59,Contra File Sem Osso Peca Inteira Kg,Acougue,523.98
60,Contra File Sem Osso Pedaco Kg,Acougue,1257.25
61,Contra File Swift Maturatta Kg,Acougue,85.99
62,Copa Alegra Lombo Corte Facil Cong.K,Acougue,83.97
63,Coracao Bovino Kg,Acougue,342.49
64,Coracao de Frango Big Fgo Resf.Bdj Kg,Acougue,585.17
65,Coracao de Frango Big Fgo Resf.Kg,Acougue,692.92
66,Coracao de Frango Copacol Resf.Kg,Acougue,2695.20
67,Coracao de Frango Maringa Resf.Kg,Acougue,476.58
68,Cortes Suinos Resf.Kg,Acougue,2657.24
69,Costela  Alegra Suina Cong. Especial Kg,Acougue,655.14
70,Costela Alegra Ripa Corte Facil Cong.K,Acougue,218.11
71,Costela Ao Meio Suina Alegra Cong.Kg,Acougue,645.18
72,Costela Bovina Resf.Kg,Acougue,41719.49
73,Costela Especial Kg,Acougue,46.45
74,Costela Prieto Suina Temp.Resf.Kg,Acougue,15.45
75,Costela Ripa Cong.Kg,Acougue,80.02
76,Costela Suina Bizinelli Resf.Kg,Acougue,289.71
77,Costela Suina Fattoria Resf.Kg,Acougue,3028.75
78,Costela Suina Frimesa Cong.Kg,Acougue,1626.32
79,Costela Suina Pamplona Temp.Resf.Kg,Acougue,149.99
80,Costela Suina Resf.Kg,Acougue,384.05
81,Costela Suina Tonini Resf.Kg,Acougue,2267.06
82,Costelinha Copacol Frango Temp.Cong.1kg,Acougue,522.54
83,Coxa C/Sobrecoxa Big Fgo C/Pele Resf.Kg,Acougue,2067.30
84,Coxa C/Sobrecoxa Big Fgo Resf.Bdj Kg,Acougue,1389.74
