,nm_produto,ds_classe2,vl_total
0,Acem Moida DeliCia A/S Kg,Acougue,3419.03
1,Acem S/O DeliCia A/S Peca Kg,Acougue,313.64
2,Acem S/O DeliCia A/S Pedaco Kg,Acougue,3967.04
3,Agulha Ou Acem Com Osso Kg,Acougue,136.43
4,Alcatra Com Maminha Peca Inteira Kg,Acougue,9040.63
5,Alcatra Com Maminha Pedaco Kg,Acougue,29305.96
6,Alcatra Frimesa Suina S/O Cong.Kg,Acougue,22.09
7,Alcatra Pamplona Suina Temperada Kg,Acougue,67.18
8,Alcatra Porcionada Kg,Acougue,20861.51
9,Asa de Frango Big Fgo Resf.Bdj Kg,Acougue,176.50
10,Asa de Frango Big Fgo Resf.Kg,Acougue,402.68
11,Asa de Frango Copacol Resf.Kg,Acougue,673.28
12,Asa de Frango Maringa Resf.Kg,Acougue,344.17
13,Assado Campestre DeliCia A/S Kg,Acougue,68.93
14,Assado Ingles DeliCia A/S Kg,Acougue,13.34
15,Baby Beef DeliCia A/S Kg,Acougue,479.64
16,Bananinha Friboi do Contra File Kg,Acougue,939.48
17,Barriga Frimesa Suina C/P S/O Cong.Kg,Acougue,18.08
18,Barriga Suina Fattoria Resf.Kg,Acougue,7.96
19,Bife A Mineira DeliCia A/S Res.Espe.Kg,Acougue,45.94
20,Bife Alcatra DeliCia A/S Kg,Acougue,2483.29
21,Bife Coxao Mole Kg,Acougue,547.39
22,Bife de Alcatra Com Maminha Kg,Acougue,76.52
23,Bife de Borboleta DeliCia A/S Kg,Acougue,278.59
24,Bife de Cacarola Friboi Reserva Kg,Acougue,141.37
25,Bife de Contra File DeliCia A/S Kg,Acougue,1950.97
26,Bife de Contra File Kg,Acougue,90.74
27,Bife de Coxao Mole DeliCia A/S Kg,Acougue,13239.01
28,Bife de Maminha DeliCia A/S Kg,Acougue,177.52
29,Bife de Palha DeliCia S/A Kg,Acougue,126.36
30,Bife de Patinho DeliCia A/S Kg,Acougue,5686.17
31,Bife de Picanha Friboi Reserva Kg,Acougue,43.91
32,Bife de Posta Branca DeliCia S/A Kg,Acougue,242.83
33,Bife Light DeliCia A/S Kg,Acougue,524.84
34,Bife Para Milanesa DeliCia A/S Kg,Acougue,638.15
35,Bife Para Role DeliCia A/S Kg,Acougue,333.69
36,Bife Paris DeliCia A/S Kg,Acougue,580.54
37,Bife Patinho Kg,Acougue,291.45
38,Bife Posta Vermelha DeliCia A/S Kg,Acougue,5853.85
39,Bife Posta Vermelha Kg,Acougue,226.97
40,Bisteca Bizinelli Resf.Kg,Acougue,555.30
41,Bisteca da Minga Friboi C/Osso Cong.Kg,Acougue,14.15
42,Bisteca Fattoria Resf.Kg,Acougue,1883.17
43,Bisteca Frimesa Fat.Cong.Kg,Acougue,4021.06
44,Bisteca Pamplona Temperada Resf.Kg,Acougue,14.29
45,Bisteca Suina Cong.Kg,Acougue,2523.79
46,Bisteca Suina Resf.Kg,Acougue,954.41
47,Bisteca Tonini Resf.Kg,Acougue,2676.01
48,Bombom do Alcatra DeliCia A/S Kg,Acougue,595.22
49,Brochete DeliCia A/S Kg,Acougue,387.16
50,Bucho Bovino Kg,Acougue,660.04
51,Bucho Para Dobradinha Kg,Acougue,73.99
52,Carcaca Suina Fattoria Resf.Kg,Acougue,2438.47
53,Carne Moida Copacol Frango Cong.500gr,Acougue,1642.68
54,Carne Sete Com Osso Kg,Acougue,1943.70
55,Contra File Com Osso Kg,Acougue,22643.53
56,Contra File Grill Friboi Reserva Kg,Acougue,37.28
57,Contra File Porcionado Kg,Acougue,13853.50
58,Contra File S/O DeliCia A/S Pc Vac.Kg,Acougue,23.02
59,Contra File Sem Osso Peca Inteira Kg,Acougue,731.08
60,Contra File Sem Osso Pedaco Kg,Acougue,468.13
61,Copa Alegra Lombo Corte Facil Cong.K,Acougue,26.49
62,Coracao Bovino Kg,Acougue,198.52
63,Coracao de Frango Big Fgo Resf.Bdj Kg,Acougue,270.41
64,Coracao de Frango Big Fgo Resf.Kg,Acougue,424.78
65,Coracao de Frango Copacol Resf.Kg,Acougue,1133.93
66,Coracao de Frango Maringa Resf.Kg,Acougue,274.29
67,Cortes Suinos Resf.Kg,Acougue,1175.87
68,Costela  Alegra Suina Cong. Especial Kg,Acougue,395.33
69,Costela Alegra Ripa Corte Facil Cong.K,Acougue,93.12
70,Costela Ao Meio Suina Alegra Cong.Kg,Acougue,263.98
71,Costela Bovina Resf.Kg,Acougue,17455.13
72,Costela Ripa Cong.Kg,Acougue,33.22
73,Costela Suina Bizinelli Resf.Kg,Acougue,83.78
74,Costela Suina Fattoria Resf.Kg,Acougue,1884.67
75,Costela Suina Frimesa Cong.Kg,Acougue,417.06
76,Costela Suina Pamplona Temp.Resf.Kg,Acougue,79.40
77,Costela Suina Resf.Kg,Acougue,52.80
78,Costela Suina Tonini Resf.Kg,Acougue,1162.07
79,Costelinha Copacol Frango Temp.Cong.1kg,Acougue,291.24
80,Coxa C/Sobrecoxa Big Fgo C/Pele Resf.Kg,Acougue,831.60
81,Coxa C/Sobrecoxa Big Fgo Resf.Bdj Kg,Acougue,515.37
82,Coxa C/Sobrecoxa C/Dorso Cong.Kg,Acougue,2290.80
83,Coxa C/Sobrecoxa Frango Cong.Kg,Acougue,708.00
84,Coxa C/Sobrecoxa Frango Copacol Bdja 1kg,Acougue,159.39
85,Coxa C/Sobrecoxa Frango Copacol Resf.Kg,Acougue,2435.71
86,Coxa C/Sobrecoxa Frango Maringa Resf.Kg,Acougue,2952.44
87,Coxa C/Sobrecoxa Seara Resf.Kg,Acougue,160.85
88,Coxa Frango Big Fgo Resf.Bdj Kg,Acougue,303.65
89,Coxa Frango Big Fgo Temp.Resf.Kg,Acougue,256.40
90,Coxa Frango Seara Resf.Kg,Acougue,216.12
91,Coxao Mole DeliCia A/S Peca Vac.Kg,Acougue,54.23
92,Coxao Mole DeliCia A/S Pedaco Resf.Kg,Acougue,1093.77
93,Coxao Mole Moido DeliCia A/S Kg,Acougue,14029.33
94,Coxao Mole Peca Inteira Kg,Acougue,579.97
95,Coxao Mole Pedaco Kg,Acougue,1070.02
96,Coxao Mole Porcionado Kg,Acougue,27741.00
97,Coxinha da Asa Big Fgo Resf.Kg,Acougue,1134.06
98,Coxinha da Asa Big Fgo Temp.Resf.Kg,Acougue,1077.08
99,Coxinha da Asa Copacol Kg,Acougue,3196.87
100,Coxinha da Asa Fgo Copacol Temp.Resf.1kg,Acougue,111.69
101,Coxinha da Asa Resf.Copacol Bdja 1kg,Acougue,220.89
102,Coxinha da Asa Resf.Maringa Kg,Acougue,1293.95
103,Coxinha da Asa Seara Resf.Kg,Acougue,699.23
104,Cubos California DeliCia A/S Kg,Acougue,553.21
105,Cubos de Acem DeliCia A/S Kg,Acougue,112.04
106,Cubos de Paleta DeliCia A/S Kg,Acougue,316.77
107,Cubos P/Sopa DeliCia A/S Kg,Acougue,7.55
108,Cupim Bovino Kg,Acougue,28.21
109,Dianteiro Bovino Kg,Acougue,13119.23
110,Drumette Big Fgo Resf.Bdj Kg,Acougue,510.97
111,Duckbeff de Patinho DeliCia A/S Kg,Acougue,850.67
112,Escabeche DeliCia A/S Kg,Acougue,28.82
113,Figado Bovino Kg,Acougue,829.98
114,Figado de Frango Copacol Resf.Kg,Acougue,212.13
115,File de Peito Big Fgo Resf.Kg,Acougue,1060.29
116,File de Peito de Frango Cong.Kg,Acougue,7734.07
117,File de Sassami Big Fgo Resf.Bdj Kg,Acougue,860.47
118,File de Sassami Big Fgo Resf.Kg,Acougue,252.24
119,File Frimesa Suino Cong.Kg,Acougue,88.18
120,File Mignon Alegra Corte Facil Cong.Kg,Acougue,33.50
121,File Mignon Alegra Suino Temp.Resf.Kg,Acougue,381.03
122,File Mignon C/Cordao Kg,Acougue,8.09
123,File Mignon Friboi Reserva Pedaco Kg,Acougue,12.27
124,File Mignon Friboi Reserva Vac.Kg,Acougue,546.00
125,File Mignon Prieto Suino Temp.Resf.Kg,Acougue,19.91
126,File Mignon Suino Alegra Cong.Kg,Acougue,257.13
127,File Peito Fgo Big Fgo Resf.Bdj Kg,Acougue,1354.02
128,File Peito Fgo Copacol Temp.Resf.1kg,Acougue,120.70
129,File Peito Frango Big Fgo Temp.Resf.Kg,Acougue,320.32
130,File Peito Frango Copacol Resf.Kg,Acougue,4251.80
131,File Peito Frango Maringa Resf.Kg,Acougue,2043.52
132,File Peito Frango Seara Resf.Kg,Acougue,1111.14
133,Flanbeff de Patinho DeliCia A/S Kg,Acougue,554.13
134,Flatbeef Coxao Mole DeliCia A/S Kg,Acougue,120.16
135,Fraldinha Friboi Resf.Kg,Acougue,1793.51
136,Fraldinha Grill do Chef Resf.Vacuo Kg,Acougue,254.70
137,Fraldinha Swift Maturatta Resf.Kg,Acougue,71.29
138,Frango A Passarinho Big Fgo Resf.Bdj Kg,Acougue,273.29
139,Frango A Passarinho Big Fgo Resf.Kg,Acougue,208.88
140,Frango A Passarinho Big Fgo Temp.Resf.Kg,Acougue,706.94
141,Frango A Passarinho Copacol Resf.Kg,Acougue,435.33
142,Frango A Passarinho Copacol Temp.Resf.1k,Acougue,70.77
143,Frango Big Resf.Kg,Acougue,2875.69
144,Frango Caipira Ivaipora Cortado Kg,Acougue,749.79
145,Frango Cong.Kg,Acougue,6906.76
146,Frango Copacol Cong.Kg,Acougue,117.52
147,Frango Copacol Resf.Kg,Acougue,2117.08
148,Frango Resfriado Maringa Kg,Acougue,3271.64
149,Frango Sadia Assa Facil Temp.Cong.Kg,Acougue,322.83
150,Frango Seara Assa Facil Temp.Cong.Kg,Acougue,77.80
151,Galinha Big Frango Kg Cong.,Acougue,203.75
152,Galinha Fragnani Cong.Kg,Acougue,90.99
153,Galo do Sitio Cong.Kg,Acougue,204.50
154,Lingua Bovina Kg,Acougue,190.97
