,nm_produto,ds_classe2,vl_total
0,Acem Lombinho Friboi Reserva Kg,Acougue,5.79
1,Acem Moida DeliCia A/S Kg,Acougue,2130.14
2,Acem S/O DeliCia A/S Peca Kg,Acougue,155.38
3,Acem S/O DeliCia A/S Pedaco Kg,Acougue,3147.12
4,Agulha Ou Acem Com Osso Kg,Acougue,35.35
5,Alcatra Com Maminha Peca Inteira Kg,Acougue,5065.85
6,Alcatra Com Maminha Pedaco Kg,Acougue,19662.91
7,Alcatra Pamplona Suina Temperada Kg,Acougue,98.55
8,Alcatra Porcionada Kg,Acougue,16634.29
9,Asa de Frango Big Fgo Resf.Bdj Kg,Acougue,162.62
10,Asa de Frango Big Fgo Resf.Kg,Acougue,309.62
11,Asa de Frango Copacol Resf.Kg,Acougue,561.57
12,Asa de Frango Maringa Resf.Kg,Acougue,332.21
13,Assado Campestre DeliCia A/S Kg,Acougue,46.47
14,Baby Beef DeliCia A/S Kg,Acougue,383.78
15,Bananinha Friboi do Contra File Kg,Acougue,826.40
16,Barriga Frimesa Suina C/P S/O Cong.Kg,Acougue,57.47
17,Barriga Suina Fattoria Resf.Kg,Acougue,18.35
18,Barriga Suina Pamplona Temp.Resf.Kg,Acougue,60.02
19,Bife A Mineira DeliCia A/S Res.Espe.Kg,Acougue,7.62
20,Bife Alcatra DeliCia A/S Kg,Acougue,2784.87
21,Bife Coxao Mole Kg,Acougue,816.14
22,Bife de Alcatra Com Maminha Kg,Acougue,78.84
23,Bife de Borboleta DeliCia A/S Kg,Acougue,249.53
24,Bife de Cacarola Friboi Reserva Kg,Acougue,152.70
25,Bife de Contra File DeliCia A/S Kg,Acougue,1740.61
26,Bife de Contra File Kg,Acougue,77.94
27,Bife de Coxao Mole DeliCia A/S Kg,Acougue,10017.50
28,Bife de Maminha DeliCia A/S Kg,Acougue,53.88
29,Bife de Palha DeliCia S/A Kg,Acougue,49.35
30,Bife de Patinho DeliCia A/S Kg,Acougue,3984.43
31,Bife de Picanha Friboi Reserva Kg,Acougue,69.86
32,Bife de Posta Branca DeliCia S/A Kg,Acougue,142.91
33,Bife Light DeliCia A/S Kg,Acougue,382.73
34,Bife Para Milanesa DeliCia A/S Kg,Acougue,346.07
35,Bife Para Role DeliCia A/S Kg,Acougue,146.03
36,Bife Paris DeliCia A/S Kg,Acougue,315.90
37,Bife Patinho Kg,Acougue,278.87
38,Bife Posta Vermelha DeliCia A/S Kg,Acougue,2956.58
39,Bife Posta Vermelha Kg,Acougue,81.68
40,Bisteca Bizinelli Resf.Kg,Acougue,370.19
41,Bisteca Fattoria Resf.Kg,Acougue,1803.08
42,Bisteca Frimesa Fat.Cong.Kg,Acougue,3084.93
43,Bisteca Suina Cong.Kg,Acougue,1865.16
44,Bisteca Suina Resf.Kg,Acougue,633.43
45,Bisteca Tonini Resf.Kg,Acougue,1534.11
46,Bombom do Alcatra DeliCia A/S Kg,Acougue,370.49
47,Brochete DeliCia A/S Kg,Acougue,375.50
48,Bucho Bovino Kg,Acougue,479.62
49,Bucho Para Dobradinha Kg,Acougue,17.30
50,Carcaca Suina Fattoria Resf.Kg,Acougue,1898.79
51,Carne Moida Copacol Frango Cong.500gr,Acougue,1374.78
52,Carne Sete Com Osso Kg,Acougue,1971.99
53,Contra File Com Osso Kg,Acougue,12162.64
54,Contra File Grill Friboi Reserva Kg,Acougue,33.96
55,Contra File Porcionado Kg,Acougue,8560.42
56,Contra File Sem Osso Peca Inteira Kg,Acougue,624.54
57,Contra File Sem Osso Pedaco Kg,Acougue,408.65
58,Copa Alegra Lombo Corte Facil Cong.K,Acougue,14.65
59,Coracao Bovino Kg,Acougue,46.15
60,Coracao de Frango Big Fgo Resf.Bdj Kg,Acougue,286.48
61,Coracao de Frango Big Fgo Resf.Kg,Acougue,216.24
62,Coracao de Frango Copacol Resf.Kg,Acougue,1170.45
63,Coracao de Frango Maringa Resf.Kg,Acougue,336.41
64,Cortes Suinos Resf.Kg,Acougue,582.14
65,Costela  Alegra Suina Cong. Especial Kg,Acougue,270.92
66,Costela Alegra Ripa Corte Facil Cong.K,Acougue,20.75
67,Costela Ao Meio Suina Alegra Cong.Kg,Acougue,177.20
68,Costela Bovina Resf.Kg,Acougue,12761.11
69,Costela Prieto Suina Temp.Resf.Kg,Acougue,19.92
70,Costela Ripa Cong.Kg,Acougue,58.31
71,Costela Suina Bizinelli Resf.Kg,Acougue,93.53
72,Costela Suina Fattoria Resf.Kg,Acougue,1956.40
73,Costela Suina Frimesa Cong.Kg,Acougue,404.69
74,Costela Suina Pamplona Temp.Resf.Kg,Acougue,35.71
75,Costela Suina Resf.Kg,Acougue,103.86
76,Costela Suina Tonini Resf.Kg,Acougue,987.83
77,Costelinha Copacol Frango Temp.Cong.1kg,Acougue,166.44
78,Coxa C/Sobrecoxa Big Fgo C/Pele Resf.Kg,Acougue,718.71
79,Coxa C/Sobrecoxa Big Fgo Resf.Bdj Kg,Acougue,251.09
80,Coxa C/Sobrecoxa C/Dorso Cong.Kg,Acougue,1203.24
81,Coxa C/Sobrecoxa Frango Cong.Kg,Acougue,441.13
82,Coxa C/Sobrecoxa Frango Copacol Bdja 1kg,Acougue,101.10
83,Coxa C/Sobrecoxa Frango Copacol Resf.Kg,Acougue,1847.38
84,Coxa C/Sobrecoxa Frango Maringa Resf.Kg,Acougue,2129.51
85,Coxa C/Sobrecoxa Seara Resf.Kg,Acougue,34.92
86,Coxa Frango Big Fgo Resf.Bdj Kg,Acougue,157.26
87,Coxa Frango Big Fgo Temp.Resf.Kg,Acougue,128.21
88,Coxa Frango Seara Resf.Kg,Acougue,107.98
89,Coxao Mole DeliCia A/S Peca Vac.Kg,Acougue,156.37
90,Coxao Mole DeliCia A/S Pedaco Resf.Kg,Acougue,809.07
