,nm_produto,ds_classe2,vl_total
0,Acem Moida DeliCia A/S Kg,Acougue,3867.86
1,Acem S/O DeliCia A/S Peca Kg,Acougue,369.82
2,Acem S/O DeliCia A/S Pedaco Kg,Acougue,4530.88
3,Alcatra Com Maminha Peca Inteira Kg,Acougue,9945.58
4,Alcatra Com Maminha Pedaco Kg,Acougue,29150.83
5,Alcatra Frimesa Suina S/O Cong.Kg,Acougue,24.34
6,Alcatra Pamplona Suina Temperada Kg,Acougue,63.57
7,Alcatra Porcionada Kg,Acougue,24983.15
8,Asa de Frango Big Fgo Resf.Bdj Kg,Acougue,172.07
9,Asa de Frango Big Fgo Resf.Kg,Acougue,255.74
10,Asa de Frango Copacol Resf.Kg,Acougue,667.82
11,Asa de Frango Maringa Resf.Kg,Acougue,241.75
12,Assado Campestre DeliCia A/S Kg,Acougue,245.04
13,Baby Beef DeliCia A/S Kg,Acougue,435.11
14,Bananinha Friboi do Contra File Kg,Acougue,1030.04
15,Barriga Frimesa Suina C/P S/O Cong.Kg,Acougue,161.65
16,Barriga Suina Fattoria Resf.Kg,Acougue,26.06
17,Barriga Suina Pamplona Temp.Resf.Kg,Acougue,58.57
18,Bife A Mineira DeliCia A/S Res.Espe.Kg,Acougue,7.54
19,Bife Alcatra DeliCia A/S Kg,Acougue,5504.98
20,Bife Coxao Mole Kg,Acougue,1031.32
21,Bife de Alcatra Com Maminha Kg,Acougue,408.29
22,Bife de Borboleta DeliCia A/S Kg,Acougue,434.50
23,Bife de Cacarola Friboi Reserva Kg,Acougue,201.72
24,Bife de Contra File DeliCia A/S Kg,Acougue,2737.67
25,Bife de Contra File Kg,Acougue,116.81
26,Bife de Coxao Mole DeliCia A/S Kg,Acougue,15267.40
27,Bife de Maminha DeliCia A/S Kg,Acougue,104.25
28,Bife de Palha DeliCia S/A Kg,Acougue,72.44
29,Bife de Patinho DeliCia A/S Kg,Acougue,4919.72
30,Bife de Picanha Friboi Reserva Kg,Acougue,222.46
31,Bife de Posta Branca DeliCia S/A Kg,Acougue,158.21
32,Bife Light DeliCia A/S Kg,Acougue,527.12
33,Bife Para Milanesa DeliCia A/S Kg,Acougue,746.04
34,Bife Para Role DeliCia A/S Kg,Acougue,217.83
