,nm_produto,ds_classe2,vl_total
0,Refrig.Coca-Cola 1l Pet,Bebidas Frias,168.17
1,Pao Frances Kg,Padaria,758.39
2,Mortadela Sadia Def.Kg,Fiambreria,22.97
3,Bisc.Ninfa A.Sal 370g,Seca Leve,6.58
4,Requeijao Tirol Trad.180g,Laticinios,111.74
5,Choc.Lacta Shot 135gr,Seca Leve,51.31
6,Queijo Tirol Prato Fatiado Kg,Fiambreria,25.25
7,Mortadela Perdigao Bolognella Kg,Fiambreria,30.54
8,Refrig.Coca-Cola 2l Pet,Bebidas Frias,268.11
9,Salgadinho Kg,Rotisseria,241.13
10,Queijo Aurora Mussarela Kg,Fiambreria,192.70
11,Bisc.Minueto Waffer Choc.Avela 115g,Seca Leve,8.40
12,Refrig.Coca-Cola 600ml Pet,Bebidas Frias,98.58
13,Mortadela Perdigao 400g S/Toucinho,"Frios,Massas E Gordurosos",14.90
14,Requeijao Catupiry Light 200g,Laticinios,19.68
15,Amend.Sta Helena Grelhadito 400g,Seca Leve,9.58
16,Refrig.Coca-Cola 2.5l Pet,Bebidas Frias,79.28
17,Queijo Tirolez Mussarela Fat.Kg,Fiambreria,23.74
18,Mortadela Perdigao Ouro Kg,Fiambreria,171.45
19,Pao Nino Sanduiche Fat.400g,Paes E Bolos Industrializados,45.08
20,Agua Min.Crystal 300ml Pet,Bebidas Frias,3.36
21,Arroz Broto Legal Parb.1kg,Seca Pesada,3.46
22,Beb.Lactea Tirol Fibrallis Vitamina 1l,Leite,5.39
23,Lasanha Perdigao 600g Bolonhesa,Congelados,54.28
24,Pudim de Leite Kg,Confeitaria,16.95
25,Vinagre Castelo Frutas Maca 750ml,Seca Salgada,5.30
26,Massa Maggi Lamen Cne 85g,Seca Leve,7.14
27,Bombom Garoto Seren.De Amor 19g,Seca Leve,37.92
28,Filtro Papel Melitta 102 C/30,Seca Pesada,9.54
29,Pao Panco Forma Jr.Premium 350g,Paes E Bolos Industrializados,4.83
30,Choc.5star 40g,Seca Leve,29.72
31,Achoc.Nescau Actigen 3.0 380g,Seca Doce,24.85
32,Queijo Prato Tirolez Fat.Kg,Fiambreria,34.22
33,Presunto Seara Kg,Fiambreria,66.99
34,Maionese Hellmanns Limao 500g,Seca Salgada,19.47
35,Pao Panco Caseiro Milho 500g,Paes E Bolos Industrializados,61.04
36,Pate Sadia 100g Presunto,"Frios,Massas E Gordurosos",6.47
