,nm_produto,ds_classe2,vl_total
0,File Peito Frango Big Fgo Temp.Resf.Kg,Acougue,20.62
1,Linguica Frimesa Calab.Def.Kg,Fiambreria,166.53
2,Toalha de Papel Maxim C/2 120 Folhas,Limpeza,176.82
3,Sab.Nivea 90g Care A.Vera E Flores,Perfumaria/Higiene E Beleza,27.58
4,Ovos Gde Bco 1dz,Granjeiros,1088.93
5,Esc.Dental Johnson Profes.Gde Media,Perfumaria/Higiene E Beleza,9.49
6,Papel Hig.Duetto Perf.Fd 30m C/4,Limpeza,28.62
7,Tempero Sazon Nordeste 60g,Seca Salgada,12.93
8,Arroz Buriti Parb.1kg,Seca Pesada,113.25
9,Sab.Nivea 90g Care E.Doce,Perfumaria/Higiene E Beleza,33.99
10,Bisc.Cartoon Rech.Flocos 140g,Seca Leve,20.84
11,Leite Tirol Uht 1l Integral,Leite,1956.15
12,Feijao Pe Vermelho Preto 1kg,Seca Pesada,394.75
13,Sab.Nivea 90g Camomila,Perfumaria/Higiene E Beleza,9.79
14,Oleo Leve Soja 900ml Pet,Seca Pesada,1406.71
15,Creme de Leite Piracanjuba 200g Tp,Seca Doce,742.26
16,Pernil Suino Fattoria C/Osso C/P Resf.Kg,Acougue,63.49
17,Ovos de Codorna 30un,Granjeiros,18.36
18,Comp.Alim.Amelia 500g C/Sal,"Frios,Massas E Gordurosos",68.70
19,Cereal Kellogg.S Froot Loops 230g,Seca Doce,21.44
20,Torrada Bauducco Integ.Mpack 320g,Seca Leve,43.85
21,Bisc.Club Social Integ.144g,Seca Leve,8.97
22,Sab.Nivea 90g Care Aveia,Perfumaria/Higiene E Beleza,38.81
23,Sab.Nivea 90g Care Leite,Perfumaria/Higiene E Beleza,59.98
24,Catchup D'Ajuda Trad.400g,Seca Salgada,30.17
25,Sab.Nivea 90g Talco E Oleo de Amendoas,Perfumaria/Higiene E Beleza,45.07
26,Sabao Em Po Brilhante 3kg,Limpeza,685.04
27,Requeijao Tirol Trad.180g,Laticinios,235.35
28,Shampoo Head&Shoulders 200ml Mentol,Perfumaria/Higiene E Beleza,25.98
29,Bisc.Minueto Waffer Mrgo 115g,Seca Leve,36.45
30,Pepino Goodys 300g,Seca Salgada,75.24
