,ds_classe2,vl_total
0,Limpeza,3428945.29
1,Seca Pesada,2909269.30
2,Bebidas Frias,2635628.02
3,Perfumaria/Higiene E Beleza,2598030.31
4,Seca Leve,2420431.66
5,Acougue,2273221.86
6,Seca Doce,1767597.94
7,Leite,1640176.75
8,Congelados,1266135.21
9,Seca Salgada,1188818.89
10,Laticinios,1115688.64
11,Fiambreria,1025120.47
12,Paes E Bolos Industrializados,884849.91
13,"Frios,Massas E Gordurosos",649399.72
14,Padaria,401118.33
15,Bebidas Quentes,296589.79
16,Granjeiros,235515.03
17,Confeitaria,183927.21
18,Rotisseria,156355.02
