,ds_classe2,vl_total
0,Limpeza,1393567.49
1,Seca Pesada,1187341.61
2,Perfumaria/Higiene E Beleza,1031215.61
3,Bebidas Frias,1030325.17
4,Seca Leve,984849.71
5,Acougue,914179.95
6,Seca Doce,718151.53
7,Leite,642697.22
8,Congelados,518685.32
9,Seca Salgada,483340.02
10,Laticinios,446775.98
11,Fiambreria,430277.01
12,Paes E Bolos Industrializados,367083.44
13,"Frios,Massas E Gordurosos",260850.64
14,Padaria,168411.80
15,Bebidas Quentes,105524.40
16,Granjeiros,100242.45
17,Confeitaria,72902.69
18,Rotisseria,62600.19
