,ds_classe2,vl_total
0,Limpeza,687682.01
1,Seca Pesada,587972.91
2,Perfumaria/Higiene E Beleza,530447.12
3,Bebidas Frias,494403.77
4,Seca Leve,467903.95
5,Acougue,409802.91
6,Leite,402741.59
7,Seca Doce,343791.44
8,Seca Salgada,229209.97
9,Congelados,220625.20
10,Laticinios,196837.46
11,Fiambreria,181048.72
12,Paes E Bolos Industrializados,167814.97
13,"Frios,Massas E Gordurosos",121178.74
14,Padaria,81554.86
15,Bebidas Quentes,58968.92
16,Granjeiros,45991.32
17,Confeitaria,42667.97
18,Rotisseria,30762.81
