,ds_classe2,vl_total
0,Limpeza,576894.51
1,Bebidas Frias,542113.04
2,Seca Pesada,499088.57
3,Acougue,486071.88
4,Perfumaria/Higiene E Beleza,430025.99
5,Seca Leve,423513.40
6,Seca Doce,304599.83
7,Congelados,256072.82
8,Leite,238697.12
9,Laticinios,216794.00
10,Fiambreria,204657.05
11,Seca Salgada,203197.07
12,Paes E Bolos Industrializados,157746.14
13,"Frios,Massas E Gordurosos",119856.05
14,Bebidas Quentes,67951.69
15,Padaria,66529.17
16,Granjeiros,40065.42
17,Rotisseria,31861.32
18,Confeitaria,30320.96
